source,year,current,potential,technicalMax
Waste Heat (HP),2030,1560.910,4615.787,7230.890
Waste Heat (HP),2040,1560.910,5322.723,7230.890
Photovoltaics,2030,6389.32,20958.71,1157134.93
Photovoltaics,2040,6389.32,39490.18,1157134.93
Solar Thermal,2030,1952.636282,5992.809435,29666.033362
Solar Thermal,2040,1952.636282,10859.342874,29666.033362
Ambient Heat (Air-Air HP),2030,4514.840000,8649.690483,34535.220855
Ambient Heat (Air-Air HP),2040,4514.840000,16765.102472,34535.220855
Wind,2030,8913.34,17123.35,119180.79
Wind,2040,8913.34,31332.79,119180.79
