region,source,value
northAmerica,wind,524.619315318112
northAmerica,solar,341.369393975849
northAmerica,hydro,605.452771581003
northAmerica,other,81.522861255008

southAndCentralAmerica,wind,150.271461826241
southAndCentralAmerica,solar,109.260267243756
southAndCentralAmerica,hydro,735.744356404848
southAndCentralAmerica,other,87.2005457863609

europe,wind,627.99455865104
europe,solar,362.169060254159
europe,hydro,697.996054133507
europe,other,223.49140038547

cis,wind,10.4434236221449
cis,solar,10.9318859180719
cis,hydro,269.249282888119
cis,other,1.47117007873226

middleEast,wind,5.24690229711987
middleEast,solar,46.8344036861096
middleEast,hydro,21.7919021149226
middleEast,other,0.513106807377881

africa,wind,29.0714620942067
africa,solar,20.8642412267582
africa,hydro,170.075777545013
africa,other,10.7934007811853

asiaPacific,wind,1163.38358506673
asiaPacific,solar,1220.3040802561
asiaPacific,hydro,1952.59874675321
asiaPacific,other,387.441674137477
